city,CDP_response_year,factors_affect_adaptability,challenge_or_support,magnitude,description
New York,2021,Political stability,Supports,Significantly,The smooth transitions of power that NYC has enjoyed ensure that adaptation projects and relevant agencies are not overly disrupted.
New York,2021,Government capacity,Supports,Significantly,The government of NYC includes a number of city-level agencies focused on adaptation initiatives.
New York,2021,Budgetary capacity,Supports,Significantly,"As one of the largest cities in the United States, NYC requires an appropriately large budget. The city appropriates large amounts for capital projects aimed at resilience and adaptation. These projects also receive funding from Federal grants."
New York,2021,Economic health,Supports,Significantly,"The healthy economy of NYC allows adaptation measures to be implemented without exerting an undue burden on residents and businesses, while providing the City with the revenue necessary to implement such projects."
New York,2021,Infrastructure conditions / maintenance,Challenges,Significantly,"The majority of buildings in NYC were built pre-1961, making them generally less resilient, and, in some cases, more difficult to retrofit. Many utilities are located at or below ground level, putting them at risk during flood events and heat waves. In addition, much of the City’s transportation infrastructure, including its subway system, was not built with resilience in mind, and are in need of high levels of maintenance and repairs."
New York,2021,Infrastructure capacity,Challenges,Moderately,The underlying factors are cost (total costs and who pays) and siting challenges due to the scale and density of the infrastructure that exists in NYC.
New York,2021,Cost of living,Challenges,Significantly,"The high cost of living in NYC has pushed many low-income residents to neighborhoods in the floodplain, which have historically been considered less desirable due to the presence of industry and distance from the city center. This trend has put low-income communities at greater risk of storm surges and inundation. The high cost of living also prohibits many residents from purchasing retrofits and flood insurance."
Los Angeles,2021,Government capacity,Supports,Significantly,Mayor is a champion for climate action and adaptation which helps drive policies and action implementation through the city.
Los Angeles,2021,Land use planning,Supports,Moderately,Enhances as this is the vehicle for which we can implement actions (data collection will be implemented through land use strategies)
Los Angeles,2021,Inequality,Challenges,Moderately,"Inequality in socioeconomic status, quality of housing, and exposure to climate risks (i.e. high heat) increases individuals' inability to adapt. To address this, the L.A. prioritizes adaptation projects in the most vulnerable communities."
Los Angeles,2021,Housing,Challenges,Moderately,"Limited housing and poor housing infrastructure presents a challenge to the city, particularly as it relates to preparing for natural disasters such as earthquakes."
Los Angeles,2021,Infrastructure conditions / maintenance,Challenges,Moderately,"Challenges our ability to adapt as poor infrastructure acts as a vulnerability, particularly in the case of natural disasters (i.e. earthquakes)"
Los Angeles,2021,Cost of living,Challenges,Moderately,Hinders adaptive capability of populations made vulnerable by a lack of quality housing or housing at all
Los Angeles,2021,Poverty,Challenges,Moderately,"Inequality in socioeconomic status, quality of housing, and exposure to climate risks (i.e. high heat) increases individuals' inability to adapt. To address this, the L.A. prioritizes adaptation projects in the most vulnerable communities."
Los Angeles,2021,Resource availability,Challenges,Moderately,Water constraints present a challenge when adapting to high heat (and fires as a result of heat and drought)
