city,CDP_response_year,most_sig_hazard,probability,magnitude,expected_intensity_change,expected_frequency_change,timeframe_expected_change,social_impact,assets_services_affected,vulnerable_populations
New York,2020,Extreme Precipitation,Medium High,Medium,Increasing,Increasing,Immediately,Population displacement; Increased resource demand; Increased demand for public services; Fluctuating socio-economic conditions,Water supply & sanitation; Residential; Public health,Persons with disabilities; Unemployed persons; Marginalized groups; Persons with chronic diseases; Low-income households; Persons living in sub-standard housing; Elderly; Children & youth
New York,2020,Extreme cold,Medium,Medium,Do not know,Do not know,Immediately,Increased demand for public services; Increased demand for healthcare services; Increased risk to already vulnerable populations; Increased resource demand,Energy; Transport; Public health,Low-income households; Persons with chronic diseases; Persons with disabilities; Children & youth; Elderly; Marginalized groups; Persons living in sub-standard housing; Unemployed persons
New York,2020,Extreme heat,High,High,Increasing,Increasing,Immediately,Increased demand for public services; Increased resource demand; Increased risk to already vulnerable populations; Increased demand for healthcare services; Increased incidence and prevalence of disease and illness; Fluctuating socio-economic conditions; Increased conflict and/or crime; Population displacement,Energy; Information & communications technology; Public health,Persons with chronic diseases; Unemployed persons; Marginalized groups; Persons living in sub-standard housing; Children & youth; Elderly; Persons with disabilities; Low-income households
New York,2020,Flood and sea level rise,High,High,Increasing,Increasing,Immediately,Increased demand for healthcare services; Increased resource demand; Increased risk to already vulnerable populations; Population displacement; Increased demand for public services; Fluctuating socio-economic conditions; Loss of traditional jobs; Loss of tax base to support public services,Transport; Energy; Water supply & sanitation,Marginalized groups; Unemployed persons; Low-income households; Children & youth; Persons with chronic diseases; Persons with disabilities; Persons living in sub-standard housing; Elderly
New York,2020,Flood and sea level rise,Medium High,Medium,Increasing,Increasing,Short-term (by 2025),Increased risk to already vulnerable populations; Increased resource demand; Population displacement; Fluctuating socio-economic conditions; Loss of tax base to support public services; Increased demand for public services,Commercial; Residential; Public health,Unemployed persons; Elderly; Marginalized groups; Persons living in sub-standard housing; Children & youth; Persons with disabilities; Low-income households; Persons with chronic diseases; Women & girls
Los Angeles,2020,Extreme Precipitation,High,High,Increasing,Do not know,Medium-term (2026-2050),Increased demand for public services,"Tourism; Emergency services; Land use planning; Water supply & sanitation; Environment, biodiversity, forestry",
Los Angeles,2020,Extreme heat,High,Medium High,Increasing,Increasing,Short-term (by 2025),Increased demand for public services; Increased demand for healthcare services; Increased incidence and prevalence of disease and illness; Increased risk to already vulnerable populations,"Water supply & sanitation; Public health; Energy; Environment, biodiversity, forestry; Transport",
Los Angeles,2020,Water Scarcity,High,High,Increasing,Increasing,Medium-term (2026-2050),N/A,"Water supply & sanitation; Public health; Environment, biodiversity, forestry",
Los Angeles,2020,Wild fire,Medium High,Medium High,Increasing,Increasing,Medium-term (2026-2050),Increased demand for public services,"Environment, biodiversity, forestry; Public health",
Los Angeles,2020,Flood and sea level rise,Medium High,Medium High,Increasing,Increasing,Medium-term (2026-2050),Increased demand for public services,"Environment, biodiversity, forestry; Emergency services; Water supply & sanitation",
Los Angeles,2020,Flood and sea level rise,Medium High,Medium High,Increasing,Increasing,Medium-term (2026-2050),Increased demand for public services,"Environment, biodiversity, forestry; Water supply & sanitation; Land use planning",Low-income households; Elderly; Children & youth
Chicago,2020,Flood and sea level rise,Medium High,Medium High,Increasing,Increasing,Immediately,Fluctuating socio-economic conditions; Increased conflict and/or crime; Increased demand for public services; Increased incidence and prevalence of disease and illness; Increased demand for healthcare services; Increased risk to already vulnerable populations,Transport; Commercial; Residential,Marginalized groups; Children & youth; Low-income households
Chicago,2020,Flood and sea level rise,Low,Medium,Increasing,Increasing,Immediately,Increased conflict and/or crime; Increased incidence and prevalence of disease and illness; Increased risk to already vulnerable populations; Fluctuating socio-economic conditions; Increased demand for healthcare services; Population displacement; Increased demand for public services,Public health; Commercial; Residential,Persons living in sub-standard housing; Low-income households; Children & youth; Marginalized groups
Chicago,2020,Extreme heat,Medium High,Medium Low,Increasing,Increasing,Immediately,Increased conflict and/or crime; Population displacement; Increased resource demand; Fluctuating socio-economic conditions; Increased incidence and prevalence of disease and illness,"Public health; Energy; Other, please specify",Elderly; Unemployed persons; Persons with disabilities; Low-income households
Chicago,2020,Extreme Precipitation,Medium High,Medium High,Increasing,Increasing,Immediately,Fluctuating socio-economic conditions; Increased demand for healthcare services; Increased demand for public services; Increased risk to already vulnerable populations; Increased incidence and prevalence of disease and illness,Residential; Commercial; Water supply & sanitation,Low-income households; Marginalized groups; Unemployed persons; Elderly; Persons living in sub-standard housing
Chicago,2020,Storm and wind,Low,Medium Low,Increasing,Increasing,Short-term (by 2025),Increased resource demand; Fluctuating socio-economic conditions; Increased demand for public services; Increased conflict and/or crime; Increased demand for healthcare services,Commercial; Residential; Transport,Persons with disabilities; Low-income households; Marginalized groups; Elderly; Persons living in sub-standard housing; Children & youth
Chicago,2020,Extreme Precipitation,Medium High,Medium,Increasing,Increasing,Immediately,Increased demand for healthcare services; Increased incidence and prevalence of disease and illness; Fluctuating socio-economic conditions; Increased risk to already vulnerable populations,Commercial; Society / community & culture; Education,Elderly; Persons living in sub-standard housing; Marginalized groups; Persons with disabilities; Low-income households
Houston,2020,Extreme heat,High,Medium,Increasing,Increasing,Immediately,Fluctuating socio-economic conditions; Increased risk to already vulnerable populations,Water supply & sanitation; Public health; Transport; Energy; Tourism; Emergency services,Persons with chronic diseases; Persons living in sub-standard housing; Persons with disabilities; Low-income households; Children & youth; Elderly
Houston,2020,Water Scarcity,High,Medium,Increasing,Increasing,Immediately,Fluctuating socio-economic conditions,Food & agriculture; Transport; Water supply & sanitation,Persons living in sub-standard housing; Children & youth; Persons with chronic diseases; Low-income households; Elderly; Persons with disabilities
Houston,2020,Extreme heat,High,Medium,Increasing,Increasing,Immediately,Increased risk to already vulnerable populations; Fluctuating socio-economic conditions,Public health; Energy; Water supply & sanitation,Persons with disabilities; Elderly; Persons living in sub-standard housing; Children & youth; Persons with chronic diseases; Low-income households
Houston,2020,Flood and sea level rise,High,High,Increasing,Increasing,Immediately,Increased resource demand; Increased demand for healthcare services; Increased risk to already vulnerable populations; Fluctuating socio-economic conditions; Population displacement; Increased incidence and prevalence of disease and illness; Increased demand for public services,Food & agriculture; Emergency services; Waste management; Water supply & sanitation; Transport; Public health,Women & girls; Low-income households; Unemployed persons; Persons with disabilities; Persons with chronic diseases; Children & youth; Elderly; Persons living in sub-standard housing; Marginalized groups
Houston,2020,Storm and wind,High,High,Increasing,Increasing,Immediately,Fluctuating socio-economic conditions; Increased incidence and prevalence of disease and illness; Increased risk to already vulnerable populations; Increased resource demand; Increased demand for healthcare services; Increased demand for public services,Transport; Residential; Emergency services; Waste management; Public health; Energy; Information & communications technology,Persons with chronic diseases; Children & youth; Persons with disabilities; Low-income households; Persons living in sub-standard housing; Elderly
Houston,2020,Storm and wind,High,Medium High,Increasing,Increasing,Immediately,Increased demand for public services; Fluctuating socio-economic conditions; Increased risk to already vulnerable populations,Emergency services; Transport; Water supply & sanitation; Waste management; Commercial; Public health,"Low-income households; Elderly; Other, please specify: Residential, commercial and industry could be impacted in the event of a storm surge; Children & youth; Persons living in sub-standard housing; Persons with disabilities; Persons with chronic diseases"
Houston,2020,Mass movement,Medium Low,Medium,Decreasing,Decreasing,Immediately,Increased resource demand; Increased demand for public services,Transport; Water supply & sanitation; Land use planning,Low-income households
Phoenix,2020,Extreme heat,High,Medium,Increasing,Increasing,Immediately,Increased incidence and prevalence of disease and illness; Increased risk to already vulnerable populations,Public health; Residential; Energy; Water supply & sanitation,"Low-income households; Persons living in sub-standard housing; Other, please specify; Persons with disabilities; Persons with chronic diseases; Elderly"
Phoenix,2020,Biological hazards,Medium,Medium,Increasing,Increasing,Immediately,Increased resource demand; Increased demand for healthcare services; Increased risk to already vulnerable populations,"Environment, biodiversity, forestry; Public health; Food & agriculture","Persons with disabilities; Elderly; Persons with chronic diseases; Other, please specify"
Phoenix,2020,Extreme heat,High,Medium,Increasing,Increasing,Immediately,Increased demand for public services; Increased resource demand; Increased demand for healthcare services; Increased risk to already vulnerable populations,Water supply & sanitation; Energy; Public health,"Persons living in sub-standard housing; Low-income households; Persons with disabilities; Other, please specify; Persons with chronic diseases; Children & youth; Marginalized groups; Unemployed persons; Elderly"
Phoenix,2020,Flood and sea level rise,High,Medium,Increasing,Increasing,Immediately,Increased demand for public services; Increased incidence and prevalence of disease and illness; Increased risk to already vulnerable populations,Transport; Commercial; Residential,"Unemployed persons; Persons living in sub-standard housing; Other, please specify; Low-income households; Elderly"
Phoenix,2020,Water Scarcity,High,Medium High,Increasing,Increasing,Short-term (by 2025),Increased demand for healthcare services; Increased risk to already vulnerable populations; Increased demand for public services,Water supply & sanitation; Residential; Industrial; Emergency services; Energy; Commercial; Food & agriculture; Tourism,Elderly; Unemployed persons; Low-income households; Children & youth; Persons with chronic diseases; Marginalized groups; Persons living in sub-standard housing
Philadelphia,2020,Extreme heat,Medium Low,High,Increasing,Increasing,Immediately,Increased demand for public services; Increased risk to already vulnerable populations; Increased conflict and/or crime,Public health,Elderly; Children & youth; Persons living in sub-standard housing; Low-income households
Philadelphia,2020,Extreme cold,Medium Low,Medium,Increasing,Increasing,Immediately,Increased demand for public services,Public health; Transport; Emergency services,Elderly
Philadelphia,2020,Flood and sea level rise,Medium,Medium High,Increasing,Increasing,Medium-term (2026-2050),Increased demand for public services; Increased incidence and prevalence of disease and illness,Residential; Emergency services; Commercial,Persons living in sub-standard housing
Philadelphia,2020,Storm and wind,High,Medium High,Increasing,Increasing,Medium-term (2026-2050),Increased demand for public services; Increased incidence and prevalence of disease and illness,Emergency services; Residential; Transport; Public health; Commercial,Persons living in sub-standard housing
San Antonio,2020,Water Scarcity,High,High,Increasing,Increasing,N/A,Increased demand for public services; Increased risk to already vulnerable populations,Residential; Energy; Emergency services,Children & youth; Low-income households; Elderly
San Antonio,2020,Flood and sea level rise,High,High,Increasing,Increasing,N/A,Increased risk to already vulnerable populations,Residential; Emergency services; Transport,Low-income households; Children & youth; Marginalized groups; Persons with disabilities; Elderly
San Antonio,2020,Storm and wind,Medium,Medium High,Increasing,Increasing,N/A,N/A,Energy; Transport; Emergency services,
San Antonio,2020,Biological hazards,High,High,Increasing,Increasing,N/A,N/A,"Public health; Water supply & sanitation; Other, please specify",Low-income households; Persons with chronic diseases; Elderly
